"Canton" "column1"
"1" "Alajuela" -0.682747507286721
"2" "Alajuela" -0.665632458500795
"3" "Alajuela" -0.646029992406698
"4" "Alajuela" -0.624106067111451
"5" "Alajuela" -0.60006818173366
"6" "Alajuela" -0.574159504939318
"7" "Alajuela" -0.546650661568542
"8" "Alajuela" -0.517829541839933
"9" "Alajuela" -0.487989718306023
"10" "Alajuela" -0.457418231309352
"11" "Alajuela" -0.426383608339164
"12" "Alajuela" -0.395125002869017
"13" "Alajuela" -0.363843275367773
"14" "Alajuela" -0.33269470793555
"15" "Alajuela" -0.301787867189296
"16" "Alajuela" -0.271183931565008
"17" "Alajuela" -0.240900598259686
"18" "Alajuela" -0.210919492641367
"19" "Alajuela" -0.181196822003808
"20" "Alajuela" -0.151676843273997
"21" "Alajuela" -0.12230754578231
"22" "Alajuela" -0.0930577814079967
"23" "Alajuela" -0.0639349037541681
"24" "Alajuela" -0.0350018069461141
"25" "Alajuela" -0.00639208818087371
"26" "Alajuela" 0.0216780930860119
"27" "Alajuela" 0.0489030013497858
"28" "Alajuela" 0.0748867385041371
"29" "Alajuela" 0.0991505678975903
"30" "Alajuela" 0.121149307838127
"31" "Alajuela" 0.140297304813513
"32" "Alajuela" 0.156003452080161
"33" "Alajuela" 0.167713290633786
"34" "Alajuela" 0.174954578131527
"35" "Alajuela" 0.177381185836311
"36" "Alajuela" 0.174809285327316
"37" "Alajuela" 0.167240026787621
"38" "Alajuela" 0.154864577466351
"39" "Alajuela" 0.138050319422643
"40" "Alajuela" 0.117310510045291
"41" "Alajuela" 0.0932627578619795
"42" "Alajuela" 0.0665833040102675
"43" "Alajuela" 0.0379638743461856
"44" "Alajuela" 0.00807602288825342
"45" "Alajuela" -0.0224547925484166
"46" "Alajuela" -0.0530657477142131
"47" "Alajuela" -0.083265948583185
"48" "Alajuela" -0.11264138356771
"49" "Alajuela" -0.140858244944034
"50" "Alajuela" -0.167666551431484
"51" "Alajuela" -0.19290499279088
"52" "Alajuela" -0.216506967667448
"53" "Alajuela" -0.238507069191521
"54" "Alajuela" -0.259046852531275
"55" "Alajuela" -0.278378583544889
"56" "Alajuela" -0.296865766508289
"57" "Alajuela" -0.314979514535864
"58" "Alajuela" -0.333290188561962
"59" "Alajuela" -0.352454119555202
"60" "Alajuela" -0.373195573765113
"61" "Alajuela" -0.396284353983269
"62" "Alajuela" -0.422509493544349
"63" "Alajuela" -0.452649363771457
"64" "Alajuela" -0.487438198445112
"65" "Alajuela" -0.527528631922719
"66" "Alajuela" -0.573449536086067
"67" "Alajuela" -0.625558517067061
"68" "Alajuela" -0.683989279360242
"69" "Alajuela" -0.748596078611754
"70" "Alajuela" -0.81890087222419
"71" "Alajuela" -0.894053198263274
"72" "Alajuela" -0.972816951771488
"73" "Alajuela" -1.0535996331495
"74" "Alajuela" -1.13453539809745
"75" "Alajuela" -1.21362177159716
"76" "Alajuela" -1.28889322482599
"77" "Alajuela" -1.35859928344546
"78" "Alajuela" -1.42134846162448
"79" "Alajuela" -1.47618675753221
"80" "Alajuela" -1.52259832792123
"81" "Alajuela" -1.56043796419813
"82" "Alajuela" -1.58982097910591
"83" "Alajuela" -1.61100114633733
"84" "Alajuela" -1.62426223979448
"85" "Alajuela" -1.6298381047051
"86" "Alajuela" -1.62786522335094
"87" "Alajuela" -1.61836383496959
"88" "Alajuela" -1.60123991763727
"89" "Alajuela" -1.57630012755034
"90" "Alajuela" -1.54327380860163
"91" "Alajuela" -1.50183917165303
"92" "Alajuela" -1.45165379566835
"93" "Alajuela" -1.3923921481656
"94" "Alajuela" -1.32379442178224
"95" "Alajuela" -1.24573111873411
"96" "Alajuela" -1.15828576957337
"97" "Alajuela" -1.06185316002573
"98" "Alajuela" -0.957242156744979
"99" "Alajuela" -0.845761894522056
"100" "Alajuela" -0.729261550758119
"101" "Alajuela" -0.610093459423178
"102" "Alajuela" -0.490982610192097
"103" "Alajuela" -0.374812313341983
"104" "Alajuela" -0.264366008367151
"105" "Alajuela" -0.162083085611395
"106" "Alajuela" -0.0698815194960277
"107" "Alajuela" 0.0109248756396679
"108" "Alajuela" 0.0796174502019045
"109" "Alajuela" 0.135996868896939
"110" "Alajuela" 0.180272687408165
"111" "Alajuela" 0.212946284503162
"112" "Alajuela" 0.234705447501235
"113" "Alajuela" 0.246339376266612
"114" "Alajuela" 0.248676011328555
"115" "Alajuela" 0.242539737642663
"116" "Alajuela" 0.228725935405582
"117" "Alajuela" 0.207988618195719
"118" "Alajuela" 0.181037790512244
"119" "Alajuela" 0.148543721272526
"120" "Alajuela" 0.111145837214907
"121" "Alajuela" 0.0694643021577175
"122" "Alajuela" 0.0241125574603126
"123" "Alajuela" -0.024290805749933
"124" "Alajuela" -0.075112424489526
"125" "Alajuela" -0.127698289881199
"126" "Alajuela" -0.181372909602996
"127" "Alajuela" -0.235444387475121
"128" "Alajuela" -0.289215666813205
"129" "Alajuela" -0.342001368195635
"130" "Alajuela" -0.393148781127355
"131" "Alajuela" -0.442060830762045
"132" "Alajuela" -0.488218429660597
"133" "Alajuela" -0.531199669676427
"134" "Alajuela" -0.570693818796195
"135" "Alajuela" -0.606508939132435
"136" "Alajuela" -0.638572923449224
"137" "Alajuela" -0.666928633348943
"138" "Alajuela" -0.691724446250623
"139" "Alajuela" -0.713201812461062
"140" "Alajuela" -0.731681414992113
"141" "Alajuela" -0.747549301620628
"142" "Alajuela" -0.761244027486418
"143" "Alajuela" -0.773245497599988
"144" "Alajuela" -0.784065888956062
"145" "Alajuela" -0.794242783810465
