"num","Year","Cases","Canton","Month"
"186",2015,132,"Limon",6
"187",2015,46,"Limon",7
"188",2015,21,"Limon",8
"189",2015,15,"Limon",9
"190",2015,8,"Limon",10
"191",2015,4,"Limon",11
"192",2015,0,"Limon",12
"193",2016,2,"Limon",1
"194",2016,12,"Limon",2
"195",2016,3,"Limon",3
"196",2016,3,"Limon",4
"197",2016,16,"Limon",5
"198",2016,26,"Limon",6
"199",2016,42,"Limon",7
"200",2016,64,"Limon",8
"201",2016,43,"Limon",9
"202",2016,19,"Limon",10
"203",2016,20,"Limon",11
"204",2016,11,"Limon",12
"205",2017,17,"Limon",1
"206",2017,13,"Limon",2
"207",2017,10,"Limon",3
"208",2017,6,"Limon",4
"209",2017,7,"Limon",5
"210",2017,12,"Limon",6
"211",2017,48,"Limon",7
"212",2017,27,"Limon",8
"213",2017,13,"Limon",9
"214",2017,13,"Limon",10
"215",2017,6,"Limon",11
"216",2017,0,"Limon",12
"217",2018,4,"Limon",1
"218",2018,5,"Limon",2
"219",2018,4,"Limon",3
"220",2018,4,"Limon",4
"221",2018,8,"Limon",5
"222",2018,11,"Limon",6
"223",2018,12,"Limon",7
"224",2018,8,"Limon",8
"225",2018,2,"Limon",9
"226",2018,1,"Limon",10
"227",2018,4,"Limon",11
"228",2018,4,"Limon",12
"229",2019,0,"Limon",12
"230",2019,1,"Limon",1
"231",2019,4,"Limon",2
"232",2019,6,"Limon",3
"233",2019,6,"Limon",4
"234",2019,11,"Limon",5
"235",2019,22,"Limon",6
"236",2019,26,"Limon",7
"237",2019,14,"Limon",8
"238",2019,37,"Limon",9
"239",2019,14,"Limon",10
"240",2000,4,"Pococí",1
"241",2000,5,"Pococí",2
"242",2000,1,"Pococí",3
"243",2000,1,"Pococí",4
"244",2000,0,"Pococí",5
"245",2000,0,"Pococí",6
"246",2000,0,"Pococí",7
"247",2000,0,"Pococí",8
"248",2000,3,"Pococí",9
"249",2000,5,"Pococí",10
"250",2000,5,"Pococí",11
"251",2000,0,"Pococí",12
"252",2001,0,"Pococí",1
"253",2001,1,"Pococí",2
"254",2001,1,"Pococí",3
"255",2001,0,"Pococí",4
"256",2001,3,"Pococí",5
"257",2001,3,"Pococí",6
"258",2001,3,"Pococí",7
"259",2001,26,"Pococí",8
"260",2001,232,"Pococí",9
"261",2001,160,"Pococí",10
"262",2001,64,"Pococí",11
"263",2001,30,"Pococí",12
"264",2002,6,"Pococí",12
"265",2002,7,"Pococí",1
"266",2002,3,"Pococí",2
"267",2002,2,"Pococí",3
"268",2002,6,"Pococí",4
"269",2002,21,"Pococí",5
"270",2002,102,"Pococí",6
"271",2002,212,"Pococí",7
"272",2002,274,"Pococí",8
"273",2002,278,"Pococí",9
"274",2002,29,"Pococí",10
"275",2002,3,"Pococí",11
"276",2003,33,"Pococí",12
"277",2003,0,"Pococí",1
"278",2003,2,"Pococí",2
"279",2003,4,"Pococí",3
"280",2003,9,"Pococí",4
"281",2003,13,"Pococí",5
"282",2003,22,"Pococí",6
"283",2003,85,"Pococí",7
"284",2003,73,"Pococí",8
"285",2003,56,"Pococí",9
"286",2003,161,"Pococí",10
"287",2003,85,"Pococí",11
"288",2004,29,"Pococí",1
"289",2004,29,"Pococí",2
"290",2004,27,"Pococí",3
"291",2004,5,"Pococí",4
"292",2004,16,"Pococí",5
"293",2004,56,"Pococí",6
"294",2004,43,"Pococí",7
"295",2004,52,"Pococí",8
"296",2004,36,"Pococí",9
"297",2004,82,"Pococí",10
"298",2004,228,"Pococí",11
"299",2004,194,"Pococí",12
"300",2005,133,"Pococí",1
"301",2005,78,"Pococí",2
"302",2005,61,"Pococí",3
"303",2005,134,"Pococí",4
"304",2005,444,"Pococí",5
"305",2005,443,"Pococí",6
"306",2005,395,"Pococí",7
"307",2005,953,"Pococí",8
"308",2005,508,"Pococí",9
"309",2005,296,"Pococí",10
"310",2005,120,"Pococí",11
"311",2005,58,"Pococí",12
"312",2006,32,"Pococí",1
"313",2006,44,"Pococí",2
"314",2006,30,"Pococí",3
"315",2006,22,"Pococí",4
"316",2006,38,"Pococí",5
"317",2006,171,"Pococí",6
"318",2006,89,"Pococí",7
"319",2006,28,"Pococí",8
"320",2006,13,"Pococí",9
"321",2006,17,"Pococí",10
"322",2006,15,"Pococí",11
"323",2006,17,"Pococí",12
"324",2007,28,"Pococí",1
"325",2007,21,"Pococí",2
"326",2007,31,"Pococí",3
"327",2007,19,"Pococí",4
"328",2007,13,"Pococí",5
"329",2007,89,"Pococí",6
"330",2007,273,"Pococí",7
"331",2007,373,"Pococí",8
"332",2007,385,"Pococí",9
"333",2007,285,"Pococí",10
"334",2007,191,"Pococí",11
"335",2007,56,"Pococí",12
"336",2008,43,"Pococí",12
"337",2008,49,"Pococí",1
"338",2008,18,"Pococí",2
"339",2008,18,"Pococí",3
"340",2008,22,"Pococí",4
"341",2008,45,"Pococí",5
"342",2008,147,"Pococí",6
"343",2008,190,"Pococí",7
"344",2008,174,"Pococí",8
"345",2008,142,"Pococí",9
"346",2008,81,"Pococí",10
"347",2008,51,"Pococí",11
"348",2009,22,"Pococí",1
"349",2009,12,"Pococí",2
"350",2009,20,"Pococí",3
"351",2009,6,"Pococí",4
"352",2009,8,"Pococí",5
"353",2009,6,"Pococí",6
"354",2009,26,"Pococí",7
"355",2009,28,"Pococí",8
"356",2009,17,"Pococí",9
"357",2009,25,"Pococí",10
"358",2009,26,"Pococí",11
"359",2009,17,"Pococí",12
"360",2010,13,"Pococí",1
"361",2010,25,"Pococí",2
"362",2010,30,"Pococí",3
"363",2010,32,"Pococí",4
"364",2010,82,"Pococí",5
"365",2010,148,"Pococí",6
"366",2010,226,"Pococí",7
"367",2010,400,"Pococí",8
"368",2010,491,"Pococí",9
"369",2010,328,"Pococí",10
"370",2010,359,"Pococí",11
"371",2010,139,"Pococí",12
"372",2011,72,"Pococí",1
"373",2011,37,"Pococí",2
"374",2011,23,"Pococí",3
"375",2011,6,"Pococí",4
"376",2011,16,"Pococí",5
"377",2011,32,"Pococí",6
"378",2011,135,"Pococí",7
"379",2011,369,"Pococí",8
"380",2011,473,"Pococí",9
"381",2011,583,"Pococí",10
"382",2011,555,"Pococí",11
"383",2011,264,"Pococí",12
"384",2012,199,"Pococí",1
"385",2012,156,"Pococí",2
"386",2012,119,"Pococí",3
"387",2012,229,"Pococí",4
"388",2012,313,"Pococí",5
"389",2012,478,"Pococí",6
"390",2012,722,"Pococí",7
"391",2012,849,"Pococí",8
"392",2012,1140,"Pococí",9
"393",2012,982,"Pococí",10
"394",2012,379,"Pococí",11
"395",2012,172,"Pococí",12
"396",2013,68,"Pococí",12
"397",2013,131,"Pococí",1
"398",2013,99,"Pococí",2
"399",2013,83,"Pococí",3
"400",2013,92,"Pococí",4
"401",2013,124,"Pococí",5
"402",2013,227,"Pococí",6
"403",2013,445,"Pococí",7
"404",2013,424,"Pococí",8
"405",2013,345,"Pococí",9
"406",2013,145,"Pococí",10
"407",2013,69,"Pococí",11
"408",2014,21,"Pococí",12
"409",2014,26,"Pococí",1
"410",2014,28,"Pococí",2
"411",2014,41,"Pococí",3
"412",2014,37,"Pococí",4
"413",2014,41,"Pococí",5
"414",2014,161,"Pococí",6
"415",2014,101,"Pococí",7
"416",2014,119,"Pococí",8
"417",2014,123,"Pococí",9
"418",2014,38,"Pococí",10
"419",2014,25,"Pococí",11
"420",2015,15,"Pococí",1
"421",2015,9,"Pococí",2
"422",2015,13,"Pococí",3
"423",2015,10,"Pococí",4
"424",2015,11,"Pococí",5
"425",2015,31,"Pococí",6
"426",2015,22,"Pococí",7
"427",2015,28,"Pococí",8
"428",2015,11,"Pococí",9
"429",2015,16,"Pococí",10
"430",2015,28,"Pococí",11
"431",2015,5,"Pococí",12
"432",2016,37,"Pococí",1
"433",2016,37,"Pococí",2
"434",2016,25,"Pococí",3
"435",2016,29,"Pococí",4
"436",2016,50,"Pococí",5
"437",2016,86,"Pococí",6
"438",2016,117,"Pococí",7
"439",2016,124,"Pococí",8
"440",2016,70,"Pococí",9
"441",2016,61,"Pococí",10
"442",2016,36,"Pococí",11
"443",2016,50,"Pococí",12
"444",2017,55,"Pococí",1
"445",2017,24,"Pococí",2
"446",2017,27,"Pococí",3
"447",2017,22,"Pococí",4
"448",2017,54,"Pococí",5
"449",2017,66,"Pococí",6
"450",2017,113,"Pococí",7
