"Canton" "column1" "column2" "column3"
"1" "Alajuela" 3.76906204260943 -9.97549722472999 -6.94270607205884
"2" "Alajuela" 3.8041046966597 -10.2170882969556 -6.9661572760254
"3" "Alajuela" 3.83866477472249 -10.4571159734941 -6.99031348081705
"4" "Alajuela" 3.8727869430938 -10.6953281555847 -7.01524025754454
"5" "Alajuela" 3.90658173626706 -10.9315637424431 -7.0410009231377
"6" "Alajuela" 3.94020802146071 -11.165755056913 -7.06765583643838
"7" "Alajuela" 3.97385317638244 -11.3979277386953 -7.09526167041645
"8" "Alajuela" 4.00771303597025 -11.6281985896114 -7.12387067008235
"9" "Alajuela" 4.04197334840493 -11.8567718974918 -7.15352990710122
"10" "Alajuela" 4.07679405621421 11.9160652527444 -7.18428054342633
"11" "Alajuela" 4.11229728306248 11.6899482361975 -7.21615711739961
"12" "Alajuela" 4.1485595248368 11.464440363179 -7.2491868666439
"13" "Alajuela" 4.18560824194775 11.239038333697 -7.28338910262845
"14" "Alajuela" 4.22342282465456 11.0131775498124 -7.31877465195731
"15" "Alajuela" 4.26193973050139 10.7862372804858 -7.3553453791539
"16" "Alajuela" 4.30106143898265 10.5575457835889 -7.39309380494504
"17" "Alajuela" 4.34066870056899 10.3263855907219 -7.4320028327567
"18" "Alajuela" 4.38063535247894 10.0919992491449 -7.47204559431107
"19" "Alajuela" 4.42084472725282 9.85359588631167 -7.51318542287865
"20" "Alajuela" 4.4612064112931 9.61035900687219 -7.55537595993249
"21" "Alajuela" 4.50167186407581 9.36145593396868 -7.59856139774798
"22" "Alajuela" 4.54224725139734 9.10604924232419 -7.64267685699045
"23" "Alajuela" 4.58300185313398 8.84331036685236 -7.68764889465852
"24" "Alajuela" 4.62407063974268 8.57243526594764 -7.73339613404746
"25" "Alajuela" 4.6656500950173 8.2926615286451 -7.77983000481736
"26" "Alajuela" 4.7079870578248 8.00328560244316 -7.82685557795388
"27" "Alajuela" 4.75136115972908 7.70367787230865 -7.87437247754281
"28" "Alajuela" 4.79606219965409 7.39329217933982 -7.92227584897675
"29" "Alajuela" 4.84236436763004 7.07166514137292 -7.97045736157602
"30" "Alajuela" 4.89049949867804 6.73839952422398 -8.01880622270906
"31" "Alajuela" 4.94063147787979 6.39312517600803 -8.06721018036976
"32" "Alajuela" 4.99283358990471 6.03543095407001 -8.11555649180094
"33" "Alajuela" 5.04707013508789 5.66476184733545 -8.16373283709476
"34" "Alajuela" 5.10318316180068 5.28027719898252 -8.21162815866474
"35" "Alajuela" 5.16088480616443 4.88066858685367 -8.25913340995627
"36" "Alajuela" 5.21975554348492 4.46393986372937 -8.30614219960546
"37" "Alajuela" 5.27924863571607 4.02715860777811 -8.35255132032397
"38" "Alajuela" 5.33870114624342 3.56620199190412 -8.39826115493162
"39" "Alajuela" 5.39735199079201 3.07555004000242 -8.44317595503984
"40" "Alajuela" 5.45436748517544 2.54824181535256 -8.4872039907824
"41" "Alajuela" 5.50887461734064 1.97622632643117 -8.53025757259507
"42" "Alajuela" 5.56000170943422 1.35151116922187 -8.57225294828381
"43" "Alajuela" 5.606925188788 0.66863626082546 -8.61311008044411
"44" "Alajuela" 5.64891988890396 -0.0712838214021555 -8.65275231067797
"45" "Alajuela" 5.68540882639678 -0.855994046555046 -8.69110591800139
"46" "Alajuela" 5.71600708809342 -1.66020316793509 -8.72809957936807
"47" "Alajuela" 5.74055378838509 -2.44996758096035 -8.76366374039529
"48" "Alajuela" 5.75912650201135 -3.1926106005005 -8.79772990422176
"49" "Alajuela" 5.77203442020772 -3.86584005426915 -8.83022984602092
"50" "Alajuela" 5.77978957829825 -4.46060563498384 -8.86109476011158
"51" "Alajuela" 5.78305921386479 -4.97827503964282 -8.89025434593089
"52" "Alajuela" 5.7826056356961 -5.42599894679345 -8.91763583844813
"53" "Alajuela" 5.77922193536126 -5.81299751925742 -8.94316298799043
"54" "Alajuela" 5.77367191893998 -6.14842017333214 -8.96675499402064
"55" "Alajuela" 5.76664090715035 -6.44040321256467 -8.98832539725649
"56" "Alajuela" 5.75870124314121 -6.69580499785276 -9.00778093476473
"57" "Alajuela" 5.75029336774927 -6.92025441310095 -9.02502036343732
"58" "Alajuela" 5.74172091812204 -7.11831346364022 -9.03993325871176
"59" "Alajuela" 5.73315684821928 -7.29366065878677 -9.05239879771552
"60" "Alajuela" 5.7246570569683 -7.44925765479096 -9.06228453941064
"61" "Alajuela" 5.71617820639364 -7.58748777890296 -9.06944521904209
"62" "Alajuela" 5.70759701224909 -7.71026600893916 -9.073721580551
"63" "Alajuela" 5.69872903094871 -7.81912383084073 -9.07493927894329
"64" "Alajuela" 5.68934567561167 -7.91527316990708 -9.07290789528982
"65" "Alajuela" 5.67918878461619 -7.99965316113937 -9.06742012048406
"66" "Alajuela" 5.66798251522439 -8.07296270378427 -9.05825118050571
"67" "Alajuela" 5.65544265638678 -8.13568085432212 -9.04515859608599
"68" "Alajuela" 5.64128367916616 -8.18807624741353 -9.02788239355596
"69" "Alajuela" 5.62522400493751 -8.23020589296349 -9.00614591122708
"70" "Alajuela" 5.60699010288144 -8.26190283034246 -8.9796573763864
"71" "Alajuela" 5.58632015577947 -8.28275115228396 -8.94811246063951
"72" "Alajuela" 5.562968174612 -8.29204574436226 -8.91119805357538
"73" "Alajuela" 5.53670960276915 -8.28873260575224 -8.86859752271039
"74" "Alajuela" 5.50734961371077 -8.2713237009807 -8.81999774553909
"75" "Alajuela" 5.47473542220728 -8.23777786025931 -8.76509819894963
"76" "Alajuela" 5.4387738998442 -8.18533641025685 -8.70362236116721
