"Canton" "column1" "column2" "column3"
"1" "Cañas" -2.27971309587868 7.43895177876593 9.25839846737976
"2" "Cañas" -2.19762251573051 7.21550888228552 9.31238418405283
"3" "Cañas" -2.09902534026641 6.95019308775108 9.36668439519975
"4" "Cañas" -1.98417669962202 6.63675699948374 9.4212346669048
"5" "Cañas" -1.8539116197932 6.2700026227379 9.47596733622347
"6" "Cañas" -1.70975634250348 5.84768236219716 9.53081149952381
"7" "Cañas" -1.55395180618846 5.37305387568414 9.58569299271442
"8" "Cañas" -1.38934599602718 4.85718835772472 9.64053436085061
"9" "Cañas" -1.21914568016577 4.31929651221911 9.69525481449111
"10" "Cañas" -1.04656986784022 3.78363702037487 9.74977017008224
"11" "Cañas" -0.874490661720496 3.27376303073313 9.80399277157382
"12" "Cañas" -0.705154674209857 2.80716081440226 9.85783139042409
"13" "Cañas" -0.540045043909649 2.39297305943104 9.91119110112955
"14" "Cañas" -0.379892477303974 2.03294409809142 9.96397312941945
"15" "Cañas" -0.22480292943102 1.72391431838473 10.0160746702861
"16" "Cañas" -0.0744541041481945 1.46027096715584 10.0673886730798
"17" "Cañas" 0.0716814258897202 1.23566324454282 10.1178035909829
"18" "Cañas" 0.214115025304864 1.04396272293864 10.1672030922938
"19" "Cañas" 0.35314052316655 0.879693463644714 10.2154657310958
"20" "Cañas" 0.488666928249007 0.738156678482728 10.2624645750732
"21" "Cañas" 0.620102470344956 0.615404566780273 10.3080667884542
"22" "Cañas" 0.746310373698531 0.508152466110194 10.3521331683342
"23" "Cañas" 0.865653781152873 0.413674916951816 10.3945176329593
"24" "Cañas" 0.976133423122488 0.329706390364342 10.4350666609457
"25" "Cañas" 1.07559882636686 0.254354540019463 10.4736186808916
"26" "Cañas" 1.16199155266142 0.186027686885833 10.5100034114248
"27" "Cañas" 1.23356924774794 0.123375599201326 10.5440411524412
"28" "Cañas" 1.28906819081103 0.0652417016907191 10.575542029162
"29" "Cañas" 1.32778469654099 0.0106247039689973 10.6043051917022
"30" "Cañas" 1.34958022231585 -0.0413521841378768 10.6301179741439
"31" "Cañas" 1.3548309975993 -0.0914660019344789 10.6527550186919
"32" "Cañas" 1.34434710118064 -0.140414016662781 10.6719773724261
"33" "Cañas" 1.3192811891118 -0.188829941534836 10.6875315665036
"34" "Cañas" 1.28103884547705 -0.23729719002913 10.6991486905081
"35" "Cañas" 1.23119505482281 -0.286359791990213 10.7065434780611
"36" "Cañas" 1.17141663531614 -0.336531461404135 10.7094134239229
"37" "Cañas" 1.10338884769446 -0.388303199543772 10.7074379577145
"38" "Cañas" 1.02874499749321 -0.442149734591752 10.7002777052298
"39" "Cañas" 0.948999496062995 -0.498535034891619 10.6875738751904
"40" "Cañas" 0.865486426228257 -0.557917083705255 10.668947817374
"41" "Cañas" 0.779306413583063 -0.62075206576904 10.6440008074395
"42" "Cañas" 0.691284288348912 -0.687498087877338 10.612314124579
"43" "Cañas" 0.601938893534774 -0.758618535737641 10.5734495004247
"44" "Cañas" 0.511465051268591 -0.834585156633814 10.5269500313984
"45" "Cañas" 0.419726844165948 -0.915880951779635 10.4723416618
"46" "Cañas" 0.326261621585332 -1.00300296396808 10.4091353610558
"47" "Cañas" 0.230295957241232 -1.09646505606758 10.3368301351229
"48" "Cañas" 0.130778447536324 -1.19680079542147 10.254917028089
"49" "Cañas" 0.026439766547242 -1.30456659003538 10.1628842840389
"50" "Cañas" -0.084102881783506 -1.42034526664127 10.0602238490869
"51" "Cañas" -0.202174209571583 -1.54475034037544 9.94643939603098
"52" "Cañas" -0.328780725893232 -1.67843130248003 9.82105604524211
"53" "Cañas" -0.464258579176363 -1.8220803463558 9.68363192986372
"54" "Cañas" -0.607871564268952 -1.97644106085688 9.53377170469222
"55" "Cañas" -0.757473527949598 -2.1423197350998 9.37114201893891
"56" "Cañas" -0.909412592671766 -2.32060002429702 9.19548885596264
"57" "Cañas" -1.05883651702024 -2.51226178873844 9.00665648175106
"58" "Cañas" -1.20040643110765 -2.71840487965606 8.80460753544433
"59" "Cañas" -1.32920203168313 -2.94027840518546 8.58944354277804
"60" "Cañas" -1.44147762808374 -3.17931539628444 8.36142484988498
"61" "Cañas" -1.53501864599032 -3.43717152529257 8.12098868637591
"62" "Cañas" -1.60907109701206 -3.71576416176918 7.86876381396712
"63" "Cañas" -1.66399358209393 -4.01730390948442 7.60558005499889
"64" "Cañas" -1.70082291820787 -4.34430394893829 7.33247098675633
"65" "Cañas" -1.72088825443071 -4.69954206377558 7.05066829122566
"66" "Cañas" -1.72553105637096 -5.08593591737658 6.76158670316544
"67" "Cañas" -1.71593415368772 -5.5062763927013 6.46679919942724
"68" "Cañas" -1.69303893251927 -5.962755566319 6.16800296250065
"69" "Cañas" -1.65752579247535 -6.45624566776649 5.86697761853848
"70" "Cañas" -1.60983828549019 -6.98536531073472 5.56553814156185
"71" "Cañas" -1.55023904042946 -7.54553247287146 5.26548547010305
"72" "Cañas" -1.4788923030437 -8.12840824270396 4.96855817215222
"73" "Cañas" -1.39597216041404 -8.72221845724695 4.67638835979256
"74" "Cañas" -1.30179631341053 -9.31318980718279 4.39046452355907
"75" "Cañas" -1.19698173250051 -9.88776094537247 4.11210313393995
"76" "Cañas" -1.08261023434735 -10.4347319399518 3.84242989731429
"77" "Cañas" -0.96038009786895 -10.9465556612804 3.58237061703491
"78" "Cañas" -0.832708519168986 -11.4195130291724 3.33265082856774
"79" "Cañas" -0.702746497211687 -11.8530637013551 3.09380282944544
"80" "Cañas" -0.574280238759 11.7511355937184 2.86617843225397
