"Canton" "column1" "column2" "column3"
"1" "Alajuela" 4.2136284087759 -10.1819402616434 -7.14981980847505
"2" "Alajuela" 4.25822353022573 -10.4324875800933 -7.15057465099144
"3" "Alajuela" 4.3024799369498 -10.6834897821381 -7.15213684124946
"4" "Alajuela" 4.3464205753351 -10.9349708827275 -7.15465175117344
"5" "Alajuela" 4.39012735123338 -11.1870835596529 -7.15827116208706
"6" "Alajuela" 4.4337225495506 -11.4401164981205 -7.16315308147218
"7" "Alajuela" 4.47734806463097 -11.6944995222545 -7.16946150969011
"8" "Alajuela" 4.52114460064958 -11.9508068067159 -7.17736615324865
"9" "Alajuela" 4.56523270355697 11.7902416428095 -7.18704208088786
"10" "Alajuela" 4.60969706899584 11.5277802880687 -7.19866931834117
"11" "Alajuela" 4.65457512501915 11.2608005643529 -7.21243237709288
"12" "Alajuela" 4.69985047090291 10.9881565629293 -7.22851971178894
"13" "Alajuela" 4.74545138535152 10.7085755715423 -7.24712310016412
"14" "Alajuela" 4.79125429455182 10.4206760418251 -7.26843693842983
"15" "Alajuela" 4.83709179617927 10.1229965737835 -7.29265744404318
"16" "Alajuela" 4.88276455428737 9.81404053324188 -7.31998175668005
"17" "Alajuela" 4.92805610861944 9.49234165329929 -7.35060692711553
"18" "Alajuela" 4.97274939418336 9.15655586372335 -7.38472878264556
"19" "Alajuela" 5.01664357338874 8.80558277066127 -7.42254065676222
"20" "Alajuela" 5.05956968384314 8.43871555280387 -7.46423197014902
"21" "Alajuela" 5.10140363853556 8.05580957234139 -7.5099866498482
"22" "Alajuela" 5.14207530529293 7.65744777751092 -7.5599813738605
"23" "Alajuela" 5.18157273693458 7.24506739771653 -7.61438362968993
"24" "Alajuela" 5.21994108926032 6.82100319801065 -7.67334957768885
"25" "Alajuela" 5.25727628970758 6.38840567917572 -7.73702171375794
"26" "Alajuela" 5.29371402756899 5.95101413437199 -7.80552633127612
"27" "Alajuela" 5.32941505035094 5.51280217445196 -7.87897078932247
"28" "Alajuela" 5.36454801261906 5.07755354372911 -7.95744060349308
"29" "Alajuela" 5.39927120873031 4.64844919131892 -8.04099638700301
"30" "Alajuela" 5.43371444186865 4.2277398330766 -8.12967068323969
"31" "Alajuela" 5.46796208358979 3.81654514059874 -8.22346474623847
"32" "Alajuela" 5.50203812454262 3.41477835473062 -8.3223453421581
"33" "Alajuela" 5.53589377508458 3.02116203383091 -8.42624166191196
"34" "Alajuela" 5.56939799974365 2.63328609500068 -8.53504245148584
"35" "Alajuela" 5.60233129664432 2.24766186068793 -8.64859348064446
"36" "Alajuela" 5.63438307161669 1.85973890122859 -8.76669548092184
"37" "Alajuela" 5.66515309007521 1.46386990014681 -8.88910268808107
"38" "Alajuela" 5.69415767519685 1.05323295973064 -9.01552212073169
"39" "Alajuela" 5.72084148976503 0.619758719103638 -9.14561371391328
"40" "Alajuela" 5.7445957977129 0.154177945067524 -9.27899140318057
"41" "Alajuela" 5.76478393781525 -0.353574627636144 -9.41522522092192
"42" "Alajuela" 5.78077424346995 -0.913190822104484 -9.55384442328216
"43" "Alajuela" 5.7919797309971 -1.53151910304536 -9.69434161535115
"44" "Alajuela" 5.79790256337354 -2.20854323228695 -9.83617778761113
"45" "Alajuela" 5.79817973058928 -2.93284794498142 -9.97878812233832
"46" "Alajuela" 5.79262490481613 -3.67975966517411 -10.1215883795475
"47" "Alajuela" 5.7812605111538 -4.4157677827139 -10.2639816328794
"48" "Alajuela" 5.76433421027944 -5.10847955518938 -10.4053651005545
"49" "Alajuela" 5.74231553777746 -5.73576992012246 -10.5451368078298
"50" "Alajuela" 5.71587129798189 -6.28866690994818 -10.6827018262673
"51" "Alajuela" 5.68582187496648 -6.7685515506892 -10.8174778606581
"52" "Alajuela" 5.65308394155603 -7.18254253042604 -10.9488999940276
"53" "Alajuela" 5.61860715675262 -7.53979877399149 -11.0764244508616
"54" "Alajuela" 5.58331278772429 -7.8493922089322 -11.1995312938673
"55" "Alajuela" 5.54804085018555 -8.11937588370817 -11.3177260254802
"56" "Alajuela" 5.51350994583718 -8.35652764791067 -11.4305401176924
"57" "Alajuela" 5.48029131419464 -8.56640564630619 -11.5375305393164
"58" "Alajuela" 5.4487963941575 -8.75351690589214 -11.638278386431
"59" "Alajuela" 5.41927575700716 -8.92150606340265 -11.7323867486506
"60" "Alajuela" 5.39182664409337 -9.07332707048015 -11.8194779613576
"61" "Alajuela" 5.36640633195275 -9.21138683790502 -11.8991904033793
"62" "Alajuela" 5.34284890787963 -9.33766073151152 -11.9711750026665
"63" "Alajuela" 5.32088355863437 -9.4537836991586 -12.0350916115544
"64" "Alajuela" 5.30015301369774 -9.56112162516808 -12.09060541047
"65" "Alajuela" 5.2802312683557 -9.66082715351124 -12.1373834966662
"66" "Alajuela" 5.26064011334332 -9.75388351603961 -12.1750918146221
"67" "Alajuela" 5.24086431573283 -9.84113918009573 -12.2033925886592
"68" "Alajuela" 5.22036554195892 -9.92333550699333 -12.2219424271203
"69" "Alajuela" 5.19859530508161 -10.001129114645 -12.2303912815862
"70" "Alajuela" 5.17500737235698 -10.075110255447 -12.2283824637624
"71" "Alajuela" 5.14907020230237 -10.1458182359495 -12.2155539456361
"72" "Alajuela" 5.120280105154 -10.2137546993037 -12.1915411927833
"73" "Alajuela" 5.08817594113485 -10.2793954498688 -12.1559818022022
"74" "Alajuela" 5.05235627564263 -10.3432014110195 -12.108522228572
"75" "Alajuela" 5.01249995958462 -10.405629266109 -12.0488268776956
"76" "Alajuela" 4.9683910121939 -10.4671423375415 -11.9765898116327
"77" "Alajuela" 4.91994830767104 -10.5282223143271 -11.8915492326197
"78" "Alajuela" 4.86725969903865 -10.589382555619 -11.7935047766362
"79" "Alajuela" 4.81061862558495 -10.6511838976726 -11.6823374373825
"80" "Alajuela" 4.75055881916511 -10.7142542104846 -11.5580316469998
"81" "Alajuela" 4.68787965290509 -10.7793134480916 -11.4206986611268
"82" "Alajuela" 4.62365177692481 -10.8472067131875 -11.2705999507649
"83" "Alajuela" 4.55919152493311 -10.918949081018 -11.1081688352804
"84" "Alajuela" 4.49599513863726 -10.9957878891632 -10.934028173176
"85" "Alajuela" 4.43563149634904 -11.0792914074211 -10.7490016613737
"86" "Alajuela" 4.37960397774178 -11.1714781700554 -10.5541162953726
"87" "Alajuela" 4.32920460563412 -11.2750104670664 -10.3505939149666
"88" "Alajuela" 4.28539101830191 -11.3934917365526 -10.1398305566149
"89" "Alajuela" 4.24871458888692 -11.5319370205613 -9.9233635202429
"90" "Alajuela" 4.21931578367093 -11.6975402313591 -9.70282749290576
"91" "Alajuela" 4.19698520356251 -11.9009648010603 -9.47990251455216
"92" "Alajuela" 4.18127268935465 11.8414239641291 -9.25625773472514
"93" "Alajuela" 4.17161803592219 11.503639090803 -9.03349553690035
"94" "Alajuela" 4.16747701723464 11.043365988206 -8.81310055332591
"95" "Alajuela" 4.16842347505053 10.3923037707387 -8.59639737058193
"96" "Alajuela" 4.1742181130992 9.45278187561072 -8.38451950204317
"97" "Alajuela" 4.18484357721861 8.14557399644629 -8.17839074490105
"98" "Alajuela" 4.20051120626039 6.54347726043201 -7.97871863106794
"99" "Alajuela" 4.22164707691515 4.56248986665283 -7.78599855019074
"100" "Alajuela" 4.24886434589414 -5.83166018360883 -7.60052639441392
"101" "Alajuela" 4.28292650593726 -7.57649244227447 -7.42241726676163
"102" "Alajuela" 4.32470299193708 -8.25303671387755 -7.25162784434635
"103" "Alajuela" 4.37511531262301 -8.68686548486576 -7.08798028667208
"104" "Alajuela" 4.43506911992308 -8.99978929935835 -6.93118601315753
"105" "Alajuela" 4.50536607677794 -9.2399975485277 -6.78086814504376
"106" "Alajuela" 4.58659017204833 -9.43266349167127 -6.63658184629498
"107" "Alajuela" 4.67896786373206 -9.59263423594496 -6.49783216688714
"108" "Alajuela" 4.78221166063931 -9.72931579045907 -6.36408927526517
"109" "Alajuela" 4.89537239404321 -9.84897431953418 -6.23480116666693
"110" "Alajuela" 5.01674225804553 -9.95594901052219 -6.10940406179101
"111" "Alajuela" 5.14385877827964 -10.0533397762956 -5.98733078105444
"112" "Alajuela" 5.27364675942049 -10.1434185444907 -5.86801740869054
"113" "Alajuela" 5.40269606037332 -10.2278857277097 -5.75090856152854
"114" "Alajuela" 5.52762103071992 -10.3080357001766 -5.63546156011621
"115" "Alajuela" 5.6454114433213 -10.3848666482214 -5.52114977275125
"116" "Alajuela" 5.75368841620291 -10.4591552666034 -5.40746537136466
"117" "Alajuela" 5.85081972075509 -10.5315085919224 -5.29392170543798
"118" "Alajuela" 5.93590078318086 -10.6024005889093 -5.18005546810249
"119" "Alajuela" -5.99135675326692 -10.6721983411632 -5.06542879803721
"120" "Alajuela" -5.93077784631435 -10.7411810148088 -4.94963143178306
"121" "Alajuela" -5.88187740919961 -10.8095537117341 -4.83228299318609
"122" "Alajuela" -5.84399044807797 -10.8774576562456 -4.71303547918597
"123" "Alajuela" -5.81637018204893 -10.9449777192681 -4.59157597331844
"124" "Alajuela" -5.79825483493838 -11.0121479909474 -4.46762958942603
"125" "Alajuela" -5.78890823225841 -11.0789559128832 -4.34096261772277
"126" "Alajuela" -5.78764047069751 -11.1453453423285 -4.21138581345691
