"Canton" "NINO41" "NINO42" "NINO43"
"1" "Alajuela" -0.501781817360605 -7.43296128376746 -1.83384789458695
"2" "Alajuela" -0.504658471339365 -7.5143763313803 -1.78111232788712
"3" "Alajuela" -0.510583842559353 -7.58704380972367 -1.72867688247518
"4" "Alajuela" -0.519305332413618 -7.64954848332955 -1.67665372154114
"5" "Alajuela" -0.53044922650294 -7.70018513328957 -1.62516135253668
"6" "Alajuela" -0.543535364961211 -7.73677777639103 -1.57432483455851
"7" "Alajuela" -0.557994838907295 -7.75637818225222 -1.52427602015958
"8" "Alajuela" -0.573188571005086 -7.75474528717641 -1.47515384325959
"9" "Alajuela" -0.588424832361147 -7.72540149112896 -1.42710466721074
"10" "Alajuela" -0.602974047224665 -7.65781327299082 -1.38028270985113
"11" "Alajuela" -0.616079552754054 -7.53360970758905 -1.33485056563361
"12" "Alajuela" -0.626963253654963 -7.31798728136648 -1.29097984876285
"13" "Alajuela" -0.634825307792397 -6.93814396329223 -1.24885198585534
"14" "Alajuela" -0.638837083885145 -6.22537540128486 -1.20865919214658
"15" "Alajuela" -0.638126639567956 -4.79609246161687 -1.17060567195699
"16" "Alajuela" -0.631755874888447 -2.387022552071 -1.1349090923185
"17" "Alajuela" -0.618688328947199 -0.282289851919484 -1.10180238878403
"18" "Alajuela" -0.597746341239701 0.83490011873191 -1.07153597504549
"19" "Alajuela" -0.567556106554525 1.41522301367599 -1.04438044380128
"20" "Alajuela" -0.526479303684407 1.74964929153652 -1.02062986629121
"21" "Alajuela" -0.472531151038118 1.9605432911517 -1.00060582330501
"22" "Alajuela" -0.403288409319403 2.10237336865424 -0.984662332912058
"23" "Alajuela" -0.315800013699736 2.20193217433094 -0.973191881816331
"24" "Alajuela" -0.206533254491719 2.27352415068847 -0.966632820961711
"25" "Alajuela" -0.07142841427195 2.32523286233978 -0.965478455547185
"26" "Alajuela" 0.0937976408387977 2.36176402560868 -0.970288249878532
"27" "Alajuela" 0.292876027998228 2.38584191716307 -0.981701684887614
"28" "Alajuela" 0.527505593069031 2.3989381015018 -1.00045545892161
"29" "Alajuela" 0.795222862501052 2.40166643308703 -1.02740492086609
"30" "Alajuela" 1.08749238432827 2.39399802807588 -1.06355088121985
"31" "Alajuela" 1.38979180853368 2.37537080633128 -1.11007327507296
"32" "Alajuela" 1.68489592626727 2.34473086094903 -1.16837356339383
"33" "Alajuela" 1.95790510070812 2.30052402312916 -1.24012825988114
"34" "Alajuela" 2.19973226335168 2.24064587762938 -1.32735654066785
"35" "Alajuela" 2.40739224077781 2.16235315875158 -1.4325054570999
"36" "Alajuela" 2.58216864549324 2.06213783164983 -1.55855662382294
"37" "Alajuela" 2.72746183353918 1.93556844070352 -1.70915792027411
"38" "Alajuela" 2.84726016360182 1.77711568440009 -1.88878169255663
"39" "Alajuela" 2.94532823821741 1.58000967108664 -2.10290505189506
"40" "Alajuela" 3.02488636096341 1.33624083171722 -2.35819398854144
"41" "Alajuela" 3.08855384860825 1.03693530750607 -2.66264362446396
"42" "Alajuela" 3.13841004998323 0.67350935756483 -3.02557000309215
"43" "Alajuela" 3.17609582301788 0.240133496002047 -3.45725036046136
"44" "Alajuela" 3.20291907107279 -0.262245846850165 -3.96786912757753
"45" "Alajuela" 3.21994820054362 -0.821367933263042 -4.56531144412421
"46" "Alajuela" 3.22808614044389 -1.41179226268569 -5.25148174025328
"47" "Alajuela" 3.22812105337515 -1.99931268532209 -6.01763291745443
"48" "Alajuela" 3.22075163226666 -2.55090486815326 -6.84085395880832
"49" "Alajuela" 3.20658672818455 -3.04386884249849 -7.68518227722509
"50" "Alajuela" 3.18612160664154 -3.46870758084323 -8.50911967144063
"51" "Alajuela" 3.15969615706765 -3.826320613563 -9.27636171168451
"52" "Alajuela" 3.12744318857556 -4.1233830203037 -9.96349300708646
"53" "Alajuela" 3.08923684810375 -4.36864293052987 -10.5612955327622
"54" "Alajuela" 3.0446519674534 -4.57078978627225 -11.0713275584118
"55" "Alajuela" 2.99294522343443 -4.7375184794113 -11.5012460046573
"56" "Alajuela" 2.93306929603815 -4.87526951667017 -11.8610790132921
"57" "Alajuela" 2.863732539593 -4.98928140492779 -12.1609751645007
"58" "Alajuela" 2.78351884185234 -5.08375647744818 -12.4101197338412
"59" "Alajuela" 2.69108300168039 -5.16204715223845 -12.6163584293843
"60" "Alajuela" 2.58543057675201 -5.22682540670159 -12.7861811867986
"61" "Alajuela" 2.46626932284185 -5.28022438030849 -12.9248591010909
"62" "Alajuela" 2.33437554754177 -5.32395197144498 -13.0366275078023
"63" "Alajuela" 2.19186055597515 -5.3593801640888 -13.1248662720401
"64" "Alajuela" 2.04218567353102 -5.38761463917034 -13.1922584150528
"65" "Alajuela" 1.88981513647283 -5.40954887177582 -13.2409224540124
"66" "Alajuela" 1.73953793975758 -5.42590621099011 -13.2725199143474
"67" "Alajuela" 1.59566300447802 -5.43727271694354 -13.2883416272299
"68" "Alajuela" 1.4613647805855 -5.44412290552074 -13.2893768179189
"69" "Alajuela" 1.3383655751479 -5.44684005062534 -13.2763686789919
"70" "Alajuela" 1.22696497286786 -5.44573230815786 -13.2498595929954
"71" "Alajuela" 1.12629617694374 -5.44104563634871 -13.2102286300794
"72" "Alajuela" 1.03466114201066 -5.43297427507582 -13.1577234743428
"73" "Alajuela" 0.949839612615003 -5.42166939697436 -13.092488544329
"74" "Alajuela" 0.869326088484403 -5.4072464446366 -13.0145907586105
"75" "Alajuela" 0.790491141795778 -5.38979161477646 -12.9240441360231
"76" "Alajuela" 0.710684139056113 -5.36936794055664 -12.8208341869742
"77" "Alajuela" 0.627300230813096 -5.34602146159361 -12.7049428210833
"78" "Alajuela" 0.537833442018195 -5.3197880688805 -12.5763742413935
"79" "Alajuela" 0.439934960602399 -5.29070179059962 -12.4351819933611
"80" "Alajuela" 0.331493640563951 -5.25880558171384 -12.2814969710448
"81" "Alajuela" 0.210754720854946 -5.22416615754453 -12.1155557485547
"82" "Alajuela" 0.0764914197034187 -5.18689517310037 -11.9377281161479
"83" "Alajuela" -0.0717616778457438 -5.14718027064217 -11.7485421979409
"84" "Alajuela" -0.233422354857034 -5.10533149716737 -11.5487050833964
"85" "Alajuela" -0.406569309507762 -5.06185185336407 -11.3391166172921
"86" "Alajuela" -0.587751516027477 -5.01754620730662 -11.1208739772584
"87" "Alajuela" -0.772051270658616 -4.97369218954836 -10.8952650264407
"88" "Alajuela" -0.953525710361065 -4.9323131574678 -10.663749214052
"89" "Alajuela" -1.12600465135487 -4.89662293246994 -10.4279259741723
"90" "Alajuela" -1.28401808522635 -4.87176644664452 -10.1894920003721
"91" "Alajuela" -1.42352430789002 -4.86608181666564 -9.95019021044062
"92" "Alajuela" -1.54220971703572 -4.89329570804435 -9.71175437403911
"93" "Alajuela" -1.63935185907259 -4.97637437230243 -9.47585399975813
"94" "Alajuela" -1.71540792530992 -5.1540548495594 -9.24404402067594
"95" "Alajuela" -1.77152733442427 -5.48998887938699 -9.01772309186273
"96" "Alajuela" -1.8091271335827 -6.07447118054794 -8.79810308665149
"97" "Alajuela" -1.82958810749989 -6.97052357597939 -8.58619091770798
"98" "Alajuela" -1.83407240863857 -8.05008817446289 -8.38278239858776
"99" "Alajuela" -1.82343759723185 -8.97924401622544 -8.18846672854632
"100" "Alajuela" -1.79821746113919 -9.56371032747584 -8.00363945308434
"101" "Alajuela" -1.75864571372064 -9.84217392558444 -7.82852144332308
"102" "Alajuela" -1.70470746536585 -9.91578160345286 -7.66318148506512
"103" "Alajuela" -1.63621183705806 -9.86509947447085 -7.50756036587968
"104" "Alajuela" -1.55288601380182 -9.74323674052024 -7.36149478080205
"105" "Alajuela" -1.45449604669016 -9.5839576268426 -7.22473984660978
"106" "Alajuela" -1.34100260708422 -9.40854547274382 -7.09698945233631
"107" "Alajuela" -1.21276091494893 -9.23019494194319 -6.97789404062533
"108" "Alajuela" -1.07077605995471 -9.05679614055636 -6.86707569596776
"109" "Alajuela" -0.917040766407742 -8.89276688032544 -6.76414061373146
"110" "Alajuela" -0.755060535388246 -8.74028895208745 -6.6686891495382
"111" "Alajuela" -0.591005262386064 -8.60014407548083 -6.58032371712706
"112" "Alajuela" -0.437543259310834 -8.47227145607113 -6.49865482967083
"113" "Alajuela" -0.334031058480645 -8.35613158434556 -6.42330557802202
"114" "Alajuela" -0.631115547351372 -8.25093743252725 -6.35391482032299
"115" "Alajuela" -5.18897514185518 -8.15579694241225 -6.29013932884467
"116" "Alajuela" -5.34034271605547 -8.06979753535914 -6.23165510742753
"117" "Alajuela" -5.24040386147981 -7.99205357452738 -6.17815806015146
"118" "Alajuela" -5.10556613574493 -7.92173068264609 -6.1293641610611
"119" "Alajuela" -4.96447109667242 -7.8580559550115 -6.08500924709037
"120" "Alajuela" -4.82501665684625 -7.80031983586776 -6.04484853223985
"121" "Alajuela" -4.68987930989172 -7.74787327406838 -6.0086559206019
"122" "Alajuela" -4.55986838973313 -7.70012238237404 -5.97622317878299
"123" "Alajuela" -4.43499450945131 -7.65652193763582 -5.94735901429518
"124" "Alajuela" -4.31489794312061 -7.61656850054002 -5.92188809517928
"125" "Alajuela" -4.199044519551 -7.57979358612887 -5.89965003708434
"126" "Alajuela" -4.08681989892894 -7.54575710307812 -5.88049837688905
"127" "Alajuela" -3.97757338792937 -7.51404115105796 -5.8642995463802
"128" "Alajuela" -3.87063464516118 -7.48424418969227 -5.85093185521463
"129" "Alajuela" -3.76531535181739 -7.45597554955697 -5.84028448914499
"130" "Alajuela" -3.66090283197627 -7.42885023270378 -5.83225652708408
"131" "Alajuela" -3.55665020276835 -7.40248393955677 -5.82675597885645
"132" "Alajuela" -3.45176656208459 -7.37648825600933 -5.823698844306
"133" "Alajuela" -3.3454103784148 -7.35046593650069 -5.82300819368902
"134" "Alajuela" -3.23668931280628 -7.3240062245403 -5.82461326889904
"135" "Alajuela" -3.12466995154837 -7.29668016141095 -5.82844860497459
"136" "Alajuela" -3.00840113889266 -7.26803584740029 -5.83445317147956
"137" "Alajuela" -2.88695449458414 -7.23759363966218 -5.84256953367324
"138" "Alajuela" -2.75948490200602 -7.20484129969862 -5.85274303386556
"139" "Alajuela" -2.625311763576 -7.16922914615084 -5.86492099395004
"140" "Alajuela" -2.48401810373015 -7.13016533214125 -5.8790519407919
"141" "Alajuela" -2.33555884654435 -7.08701146133648 -5.89508485689281
"142" "Alajuela" -2.18036226700413 -7.03907889883323 -5.91296845952782
